class,method,invokes,parameters,location,originClass,originMethod
com.google.common.collect.ImmutableRangeMap$Builder,put(Lcom/google/common/collect/Range;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableRangeMap$Builder;,true,[],123:-1,com.google.common.collect.Range,isEmpty()Z
com.google.common.collect.ImmutableRangeMap$Builder,put(Lcom/google/common/collect/Range;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableRangeMap$Builder;,true,"[""NON_NULL"",""NON_NULL"",""NON_NULL""]",123:-1,com.google.common.base.Preconditions,checkArgument(ZLjava/lang/String;Ljava/lang/Object;)V
com.google.common.collect.SingletonImmutableTable,<init>(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)V,true,[],35:-1,com.google.common.collect.ImmutableTable,<init>()V
com.google.common.collect.MultimapBuilder$ListMultimapBuilder,build(Lcom/google/common/collect/Multimap;)Lcom/google/common/collect/ListMultimap;,true,"[""UNKNOWN""]",452:-1,com.google.common.collect.MultimapBuilder,build(Lcom/google/common/collect/Multimap;)Lcom/google/common/collect/Multimap;
com.google.common.util.concurrent.CycleDetectingLockFactory$PotentialDeadlockException,getConflictingStackTrace()Lcom/google/common/util/concurrent/CycleDetectingLockFactory$ExampleStackTrace;,false,,,,
com.google.common.hash.AbstractHasher,putBytes([B)Lcom/google/common/hash/Hasher;,true,"[""NON_NULL"",""NON_NULL"",""NON_NULL""]",60:-1,com.google.common.hash.AbstractHasher,putBytes([BII)Lcom/google/common/hash/Hasher;
com.google.common.collect.HashBiMap,put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,true,"[""UNKNOWN"",""UNKNOWN"",""NON_NULL""]",262:-1,com.google.common.collect.HashBiMap,put(Ljava/lang/Object;Ljava/lang/Object;Z)Ljava/lang/Object;
com.google.common.primitives.Ints$LexicographicalComparator,<clinit>()V,true,"[""NON_NULL"",""NON_NULL""]",439:-1,com.google.common.primitives.Ints$LexicographicalComparator,<init>(Ljava/lang/String;I)V
com.google.common.reflect.Types$JavaVersion$4,newArrayType(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,true,"[""UNKNOWN""]",607:-1,com.google.common.reflect.Types$JavaVersion,newArrayType(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;
com.google.common.io.Closer,register(Ljava/io/Closeable;)Ljava/io/Closeable;,false,,,,
com.google.common.collect.Multimaps$MapMultimap,size()I,false,,,,
com.google.common.collect.ImmutableMapValues,lambda$forEach$0(Ljava/util/function/Consumer;Ljava/lang/Object;Ljava/lang/Object;)V,false,,,,
com.google.common.collect.ImmutableList$SubList,get(I)Ljava/lang/Object;,true,"[""NON_NULL"",""NON_NULL""]",474:-1,com.google.common.base.Preconditions,checkElementIndex(II)I
com.google.common.collect.Synchronized,map(Ljava/util/Map;Ljava/lang/Object;)Ljava/util/Map;,true,"[""UNKNOWN"",""UNKNOWN""]",1023:-1,com.google.common.collect.Synchronized$SynchronizedMap,<init>(Ljava/util/Map;Ljava/lang/Object;)V
