,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
39,com.google.common.base.CaseFormat$4,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,2,true,UNKNOWN,1,,,False,,,
40,com.google.common.base.CaseFormat$4,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,3,true,NON_NULL,1,,,False,,,
41,com.google.common.base.CaseFormat$5,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,0,true,NON_NULL,1,,,False,,,
42,com.google.common.base.CaseFormat$5,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,1,true,NON_NULL,1,,,False,,,
43,com.google.common.base.CaseFormat$5,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,2,true,UNKNOWN,1,,,False,,,
44,com.google.common.base.CaseFormat$5,method,private,<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;),false,3,true,NON_NULL,1,,,False,,,
45,com.google.common.base.CaseFormat$StringConverter,method,private,<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;),false,0,true,NON_NULL,1,,,False,,,
46,com.google.common.base.CaseFormat$StringConverter,method,private,<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;),false,1,true,UNKNOWN,1,,,False,,,
47,com.google.common.base.CharMatcher,method,private,access$100(C),false,0,true,NON_NULL,7,False,,False,True,,
48,com.google.common.base.CharMatcher,method,private,setBits(Ljava/util/BitSet;),false,0,true,NON_NULL,3,False,,False,True,,
49,com.google.common.base.CharMatcher,method,private,setBits(Ljava/util/BitSet;),false,0,true,UNKNOWN,2,False,,False,True,,
50,com.google.common.base.CharMatcher,method,public,and(Lcom/google/common/base/CharMatcher;),false,-1,true,UNKNOWN,2,False,False,True,True,False,False
51,com.google.common.base.CharMatcher,method,public,and(Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,False,False,True,True,False,False
52,com.google.common.base.CharMatcher,method,public,and(Lcom/google/common/base/CharMatcher;),false,0,true,UNKNOWN,4,False,False,True,True,False,False
53,com.google.common.base.CharMatcher,method,public,anyOf(Ljava/lang/CharSequence;),false,0,false,NON_NULL,2,False,False,True,True,False,False
54,com.google.common.base.CharMatcher,method,public,anyOf(Ljava/lang/CharSequence;),false,0,false,UNKNOWN,2,False,False,True,True,False,False
55,com.google.common.base.CharMatcher,method,public,anyOf(Ljava/lang/CharSequence;),false,0,true,NON_NULL,3,False,False,True,True,False,False
56,com.google.common.base.CharMatcher,method,public,apply(Ljava/lang/Character;),false,0,true,UNKNOWN,12,False,False,True,True,False,False
57,com.google.common.base.CharMatcher,method,public,ascii(),false,-1,true,UNKNOWN,3,False,False,True,True,False,False
58,com.google.common.base.CharMatcher,method,public,countIn(Ljava/lang/CharSequence;),false,0,true,NON_NULL,1,False,False,True,True,False,False
