,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
24,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/io/File;Ljava/lang/Object;),false,1,true,UNKNOWN,1,False,NOT_MENTIONED
25,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/io/File;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
26,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/io/File;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,1,true,UNKNOWN,1,False,NOT_MENTIONED
27,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/io/File;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,2,true,UNKNOWN,1,False,NOT_MENTIONED
28,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/lang/String;Ljava/lang/Object;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
29,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/lang/String;Ljava/lang/Object;),false,1,true,UNKNOWN,1,False,NOT_MENTIONED
30,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/lang/String;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,0,true,UNKNOWN,1,False,NOT_MENTIONED
31,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/lang/String;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,1,true,UNKNOWN,1,False,NOT_MENTIONED
32,org.apache.commons.io.FileCleaningTracker,method,public,track(Ljava/lang/String;Ljava/lang/Object;Lorg/apache/commons/io/FileDeleteStrategy;),false,2,true,UNKNOWN,1,False,NOT_MENTIONED
33,org.apache.commons.io.FileCleaningTracker$Reaper,method,private,<init>(Lorg/apache/commons/io/FileCleaningTracker;),false,0,true,NON_NULL,1,,CLASS_NOT_FOUND
34,org.apache.commons.io.FileCleaningTracker$Tracker,method,private,<init>(Ljava/lang/String;Lorg/apache/commons/io/FileDeleteStrategy;Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;),false,0,true,UNKNOWN,1,,CLASS_NOT_FOUND
35,org.apache.commons.io.FileCleaningTracker$Tracker,method,private,<init>(Ljava/lang/String;Lorg/apache/commons/io/FileDeleteStrategy;Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;),false,1,true,UNKNOWN,1,,CLASS_NOT_FOUND
36,org.apache.commons.io.FileCleaningTracker$Tracker,method,private,<init>(Ljava/lang/String;Lorg/apache/commons/io/FileDeleteStrategy;Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;),false,2,true,UNKNOWN,1,,CLASS_NOT_FOUND
37,org.apache.commons.io.FileCleaningTracker$Tracker,method,private,<init>(Ljava/lang/String;Lorg/apache/commons/io/FileDeleteStrategy;Ljava/lang/Object;Ljava/lang/ref/ReferenceQueue;),false,3,true,UNKNOWN,1,,CLASS_NOT_FOUND
38,org.apache.commons.io.FileDeleteStrategy,method,protected,<init>(Ljava/lang/String;),false,0,true,NON_NULL,1,True,NOT_MENTIONED
39,org.apache.commons.io.FileDeleteStrategy,method,public,deleteQuietly(Ljava/io/File;),false,0,true,NON_NULL,1,False,MENTIONED_IN_GENERAL
40,org.apache.commons.io.FileExistsException,method,public,<init>(Ljava/lang/String;),false,0,true,UNKNOWN,2,True,NOT_MENTIONED
41,org.apache.commons.io.FileUtils,method,public,byteCountToDisplaySize(J),false,0,false,NON_NULL,185,False,NOT_MENTIONED
42,org.apache.commons.io.FileUtils,method,public,cleanDirectory(Ljava/io/File;),false,0,false,NON_NULL,5,False,NOT_MENTIONED
43,org.apache.commons.io.FileUtils,method,public,cleanDirectory(Ljava/io/File;),false,0,false,UNKNOWN,10,False,NOT_MENTIONED
44,org.apache.commons.io.FileUtils,method,public,copyDirectory(Ljava/io/File;Ljava/io/File;),false,0,false,NON_NULL,15,False,NOT_MENTIONED
45,org.apache.commons.io.FileUtils,method,public,copyDirectory(Ljava/io/File;Ljava/io/File;),false,1,false,NON_NULL,15,False,NOT_MENTIONED
46,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;),false,0,false,NON_NULL,16,False,NOT_MENTIONED
47,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;),false,0,false,UNKNOWN,13,False,NOT_MENTIONED
48,org.apache.commons.io.FileUtils,method,public,copyFile(Ljava/io/File;Ljava/io/File;),false,1,false,NON_NULL,20,False,NOT_MENTIONED
