,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
51,java.awt.Component,method,public,addHierarchyBoundsListener(Ljava/awt/event/HierarchyBoundsListener;),false,0,false,NON_NULL,33,False,MENTIONED_IN_GENERAL
52,java.awt.Component,method,public,addKeyListener(Ljava/awt/event/KeyListener;),false,0,false,NON_NULL,22,False,MENTIONED_IN_GENERAL
53,java.awt.Component,method,public,addKeyListener(Ljava/awt/event/KeyListener;),false,0,false,UNKNOWN,313,False,MENTIONED_IN_GENERAL
54,java.awt.Component,method,public,addMouseListener(Ljava/awt/event/MouseListener;),false,0,false,NON_NULL,107,False,MENTIONED_IN_GENERAL
55,java.awt.Component,method,public,addMouseListener(Ljava/awt/event/MouseListener;),false,0,false,UNKNOWN,533,False,MENTIONED_IN_GENERAL
56,java.awt.Component,method,public,addMouseMotionListener(Ljava/awt/event/MouseMotionListener;),false,0,false,NON_NULL,41,False,MENTIONED_IN_GENERAL
57,java.awt.Component,method,public,addMouseWheelListener(Ljava/awt/event/MouseWheelListener;),false,0,false,UNKNOWN,11,False,MENTIONED_IN_GENERAL
58,java.awt.Component,method,public,getBounds(),false,-1,false,NON_NULL,11,False,NOT_MENTIONED
59,java.awt.Component,method,public,getBounds(),false,-1,false,UNKNOWN,61,False,NOT_MENTIONED
60,java.awt.Component,method,public,getComponentAt(II),false,-1,false,UNKNOWN,22,False,MENTIONED
61,java.awt.Component,method,public,getComponentAt(II),false,0,false,NON_NULL,22,False,MENTIONED_IN_GENERAL
62,java.awt.Component,method,public,getComponentAt(II),false,1,false,NON_NULL,22,False,MENTIONED_IN_GENERAL
63,java.awt.Component,method,public,getFocusListeners(),false,-1,false,UNKNOWN,11,False,NOT_MENTIONED
64,java.awt.Component,method,public,getFont(),true,-1,false,NON_NULL,528,False,NOT_MENTIONED
65,java.awt.Component,method,public,getFont(),true,-1,false,UNKNOWN,1430,False,NOT_MENTIONED
66,java.awt.Component,method,public,getGraphicsConfiguration(),false,-1,false,NON_NULL,11,False,MENTIONED
67,java.awt.Component,method,public,getGraphicsConfiguration(),false,-1,false,UNKNOWN,11,False,MENTIONED
68,java.awt.Component,method,public,getKeyListeners(),false,-1,false,UNKNOWN,11,False,NOT_MENTIONED
69,java.awt.Component,method,public,getLocation(),false,-1,false,UNKNOWN,22,False,NOT_MENTIONED
70,java.awt.Component,method,public,getMouseListeners(),false,-1,false,UNKNOWN,44,False,NOT_MENTIONED
71,java.awt.Component,method,public,getParent(),true,-1,false,NON_NULL,44,False,NOT_MENTIONED
72,java.awt.Component,method,public,getParent(),true,-1,false,UNKNOWN,33,False,NOT_MENTIONED
73,java.awt.Component,method,public,getPropertyChangeListeners(),false,-1,false,UNKNOWN,11,False,NOT_MENTIONED
74,java.awt.Component,method,public,getPropertyChangeListeners(Ljava/lang/String;),false,-1,false,UNKNOWN,22,False,MENTIONED
75,java.awt.Component,method,public,getPropertyChangeListeners(Ljava/lang/String;),false,0,false,NON_NULL,22,False,NOT_MENTIONED
76,java.awt.Component,method,public,getSize(),false,-1,false,UNKNOWN,66,False,NOT_MENTIONED
77,java.awt.Component,method,public,getTreeLock(),false,-1,false,UNKNOWN,11,False,NOT_MENTIONED
78,java.awt.Component,method,public,removeFocusListener(Ljava/awt/event/FocusListener;),false,0,false,NON_NULL,11,False,MENTIONED_IN_GENERAL
79,java.awt.Component,method,public,removeFocusListener(Ljava/awt/event/FocusListener;),false,0,false,UNKNOWN,93,False,MENTIONED_IN_GENERAL
80,java.awt.Component,method,public,removeKeyListener(Ljava/awt/event/KeyListener;),false,0,false,NON_NULL,11,False,MENTIONED_IN_GENERAL
81,java.awt.Component,method,public,removeKeyListener(Ljava/awt/event/KeyListener;),false,0,false,UNKNOWN,5,False,MENTIONED_IN_GENERAL
