class,method,getter
com.google.common.base.Splitter,omitEmptyStrings()Lcom/google/common/base/Splitter;,true
com.google.common.base.CharMatcher,and(Lcom/google/common/base/CharMatcher;)Lcom/google/common/base/CharMatcher;,false
com.google.common.base.CharMatcher,negate()Lcom/google/common/base/CharMatcher;,false
com.google.common.cache.CacheBuilder,weakKeys()Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,concurrencyLevel(I)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,removalListener(Lcom/google/common/cache/RemovalListener;)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,valueEquivalence(Lcom/google/common/base/Equivalence;)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,setKeyStrength(Lcom/google/common/cache/LocalCache$Strength;)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,setValueStrength(Lcom/google/common/cache/LocalCache$Strength;)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.cache.CacheBuilder,getStatsCounterSupplier()Lcom/google/common/base/Supplier;,true
com.google.common.cache.CacheBuilder,keyEquivalence(Lcom/google/common/base/Equivalence;)Lcom/google/common/cache/CacheBuilder;,false
com.google.common.collect.Ordering,immutableSortedCopy(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableList;,false
com.google.common.collect.Ordering,max(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,false
com.google.common.collect.Ordering,min(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,false
com.google.common.collect.Ordering,reverse()Lcom/google/common/collect/Ordering;,false
com.google.common.collect.Ordering,onKeys()Lcom/google/common/collect/Ordering;,false
com.google.common.collect.Ordering,onResultOf(Lcom/google/common/base/Function;)Lcom/google/common/collect/Ordering;,false
com.google.common.collect.AbstractBiMap,entrySet()Ljava/util/Set;,true
com.google.common.collect.AbstractBiMap,inverse()Lcom/google/common/collect/BiMap;,true
com.google.common.graph.ConfigurableNetwork,incidentNodes(Ljava/lang/Object;)Lcom/google/common/graph/EndpointPair;,false
com.google.common.graph.AbstractNetwork$1,nodes()Ljava/util/Set;,false
com.google.common.graph.AbstractNetwork$1,successors(Ljava/lang/Object;)Ljava/util/Set;,false
com.google.common.collect.ImmutableMultimap,asMap()Lcom/google/common/collect/ImmutableMap;,false
com.google.common.collect.ImmutableMultimap,values()Lcom/google/common/collect/ImmutableCollection;,false
com.google.common.collect.ImmutableMultimap,entries()Lcom/google/common/collect/ImmutableCollection;,false
com.google.common.collect.ImmutableListMultimap$Builder,putAll(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableListMultimap$Builder;,false
