class,method,variable,location,nullness,originClass,originMethod,r
com.google.common.collect.ImmutableMultimap$Builder,build()Lcom/google/common/collect/ImmutableMultimap;,sortedCopy#4,292:-1,UNKNOWN,com.google.common.collect.MultimapBuilder$ListMultimapBuilder,build()Lcom/google/common/collect/ListMultimap;,0.00003812622762278117
com.google.common.collect.MapMakerInternalMap$AbstractSerializationProxy,readMapMaker(Ljava/io/ObjectInputStream;)Lcom/google/common/collect/MapMaker;,$r7,2914:-1,UNKNOWN,com.google.common.collect.MapMaker,keyEquivalence(Lcom/google/common/base/Equivalence;)Lcom/google/common/collect/MapMaker;,0.0006627867339017435
com.google.common.cache.LocalCache$Segment,clear()V,e,3367:-1,UNKNOWN,com.google.common.cache.LocalCache$ReferenceEntry,getNext()Lcom/google/common/cache/LocalCache$ReferenceEntry;,0.0007577445739840316
com.google.common.collect.TreeRangeSet$RangesByUpperBound,descendingEntryIterator()Ljava/util/Iterator;,$r7,417:-1,UNKNOWN,com.google.common.collect.PeekingIterator,peek()Ljava/lang/Object;,0.0008391326559951118
com.google.common.html.HtmlEscapers,<clinit>()V,$r2,66:-1,UNKNOWN,com.google.common.escape.Escapers$Builder,addEscape(CLjava/lang/String;)Lcom/google/common/escape/Escapers$Builder;,0.0008972428664193455
com.google.common.collect.ImmutableSortedMap,fromEntries(Ljava/util/Comparator;ZLjava/lang/Iterable;)Lcom/google/common/collect/ImmutableSortedMap;,entryArray,362:-1,UNKNOWN,com.google.common.collect.Iterables,toArray(Ljava/lang/Iterable;[Ljava/lang/Object;)[Ljava/lang/Object;,0.0009472273470640946
com.google.common.graph.EndpointPairIterator,<init>(Lcom/google/common/graph/BaseGraph;)V,$r2,45:-1,UNKNOWN,com.google.common.graph.BaseGraph,nodes()Ljava/util/Set;,0.0010833755708791193
com.google.common.graph.Graphs,copyOf(Lcom/google/common/graph/Graph;)Lcom/google/common/graph/MutableGraph;,copy,540:-1,UNKNOWN,com.google.common.graph.GraphBuilder,build()Lcom/google/common/graph/MutableGraph;,0.0025882860669093066
com.google.common.collect.SparseImmutableTable,<init>(Lcom/google/common/collect/ImmutableList;Lcom/google/common/collect/ImmutableSet;Lcom/google/common/collect/ImmutableSet;)V,rows,84:-1,UNKNOWN,com.google.common.collect.Maps,newLinkedHashMap()Ljava/util/LinkedHashMap;,0.0031916941731363613
com.google.common.graph.ImmutableValueGraph,getNodeConnections(Lcom/google/common/graph/ValueGraph;)Lcom/google/common/collect/ImmutableMap;,nodeConnections,79:-1,UNKNOWN,com.google.common.collect.ImmutableMap,builder()Lcom/google/common/collect/ImmutableMap$Builder;,0.003344360151032677
com.google.common.collect.AbstractRangeSet,toString()Ljava/lang/String;,$r0,98:-1,UNKNOWN,com.google.common.collect.RangeSet,asRanges()Ljava/util/Set;,0.003971849894526591
com.google.common.collect.Sets$DescendingSet,reverse(Ljava/util/Comparator;)Lcom/google/common/collect/Ordering;,$r0,2083:-1,UNKNOWN,com.google.common.collect.Ordering,from(Ljava/util/Comparator;)Lcom/google/common/collect/Ordering;,0.004521289131777184
com.google.common.cache.CacheStats,toString()Ljava/lang/String;,$r2,270:-1,UNKNOWN,com.google.common.base.MoreObjects$ToStringHelper,add(Ljava/lang/String;J)Lcom/google/common/base/MoreObjects$ToStringHelper;,0.004990110299199602
com.google.common.util.concurrent.AggregateFuture$RunningState,processCompleted()V,l2,257:-1,UNKNOWN,com.google.common.collect.ImmutableCollection,iterator()Lcom/google/common/collect/UnmodifiableIterator;,0.005099388428352558
com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueSegment,setWeakValueReferenceForTesting(Lcom/google/common/collect/MapMakerInternalMap$InternalEntry;Lcom/google/common/collect/MapMakerInternalMap$WeakValueReference;)V,previous,2084:-1,UNKNOWN,com.google.common.collect.MapMakerInternalMap$StrongKeyWeakValueEntry,access$600(Lcom/google/common/collect/MapMakerInternalMap$StrongKeyWeakValueEntry;)Lcom/google/common/collect/MapMakerInternalMap$WeakValueReference;,0.005730721428090391
com.google.common.collect.TreeRangeSet$SubRangeSetRangesByLowerBound,entryIterator()Ljava/util/Iterator;,$r25,802:-1,UNKNOWN,com.google.common.collect.Ordering,natural()Lcom/google/common/collect/Ordering;,0.006983509138922539
com.google.common.reflect.ClassPath,getTopLevelClassesRecursive(Ljava/lang/String;)Lcom/google/common/collect/ImmutableSet;,builder,167:-1,UNKNOWN,com.google.common.collect.ImmutableSet,builder()Lcom/google/common/collect/ImmutableSet$Builder;,0.007028521163402579
com.google.common.base.Splitter$MapSplitter,split(Ljava/lang/CharSequence;)Ljava/util/Map;,$r2,485:-1,UNKNOWN,com.google.common.base.Splitter,split(Ljava/lang/CharSequence;)Ljava/lang/Iterable;,0.0073710977606520345
