class,method,variable,location,nullness,nullness.actual,comment,originClass,originMethod
com.google.common.graph.Graphs,copyOf(Lcom/google/common/graph/Graph;)Lcom/google/common/graph/MutableGraph;,copy,540:-1,UNKNOWN,UNKNOWN,,com.google.common.graph.GraphBuilder,build()Lcom/google/common/graph/MutableGraph;
com.google.common.graph.ImmutableValueGraph,getNodeConnections(Lcom/google/common/graph/ValueGraph;)Lcom/google/common/collect/ImmutableMap;,nodeConnections,79:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.ImmutableMap,builder()Lcom/google/common/collect/ImmutableMap$Builder;
com.google.common.hash.AbstractHashFunction,hashString(Ljava/lang/CharSequence;Ljava/nio/charset/Charset;)Lcom/google/common/hash/HashCode;,$r0,42:-1,UNKNOWN,UNKNOWN,,com.google.common.hash.HashFunction,newHasher()Lcom/google/common/hash/Hasher;
com.google.common.hash.BloomFilterStrategies$1,mightContain(Ljava/lang/Object;Lcom/google/common/hash/Funnel;ILcom/google/common/hash/BloomFilterStrategies$LockFreeBitArray;)Z,$r0,70:-1,UNKNOWN,UNKNOWN,,com.google.common.hash.Hashing,murmur3_128()Lcom/google/common/hash/HashFunction;
com.google.common.html.HtmlEscapers,<clinit>()V,$r2,66:-1,UNKNOWN,UNKNOWN,,com.google.common.escape.Escapers$Builder,addEscape(CLjava/lang/String;)Lcom/google/common/escape/Escapers$Builder;
com.google.common.io.CharSource,isEmpty()Z,closer,409:-1,UNKNOWN,UNKNOWN,,com.google.common.io.Closer,create()Lcom/google/common/io/Closer;
com.google.common.primitives.Ints,tryParse(Ljava/lang/String;I)Ljava/lang/Integer;,result,745:-1,NON_NULL,NON_NULL,"wrong line number, should be 744",com.google.common.primitives.Longs,tryParse(Ljava/lang/String;I)Ljava/lang/Long;
com.google.common.reflect.ClassPath,getTopLevelClassesRecursive(Ljava/lang/String;)Lcom/google/common/collect/ImmutableSet;,builder,167:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.ImmutableSet,builder()Lcom/google/common/collect/ImmutableSet$Builder;
com.google.common.util.concurrent.AbstractFuture$SetFuture,run()V,$r3,324:-1,UNKNOWN,?,invoke dynamic,com.google.common.util.concurrent.AbstractFuture,access$200()Lcom/google/common/util/concurrent/AbstractFuture$AtomicHelper;
com.google.common.util.concurrent.AggregateFuture$RunningState,processCompleted()V,l2,257:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.ImmutableCollection,iterator()Lcom/google/common/collect/UnmodifiableIterator;
com.google.common.util.concurrent.CollectionFuture$ListFuture$ListFutureRunningState,combine(Ljava/util/List;)Ljava/util/List;,result,107:-1,UNKNOWN,UNKNOWN,,com.google.common.collect.Lists,newArrayListWithCapacity(I)Ljava/util/ArrayList;
com.google.common.util.concurrent.MoreExecutors,submitAndAddQueueListener(Lcom/google/common/util/concurrent/ListeningExecutorService;Ljava/util/concurrent/Callable;Ljava/util/concurrent/BlockingQueue;)Lcom/google/common/util/concurrent/ListenableFuture;,future,787:-1,UNKNOWN,UNKNOWN,,com.google.common.util.concurrent.ListeningExecutorService,submit(Ljava/util/concurrent/Callable;)Lcom/google/common/util/concurrent/ListenableFuture;
com.google.common.util.concurrent.TimeoutFuture$Fire,run()V,delegate,114:-1,NON_NULL,NON_NULL,,com.google.common.util.concurrent.TimeoutFuture,access$000(Lcom/google/common/util/concurrent/TimeoutFuture;)Lcom/google/common/util/concurrent/ListenableFuture;
