class,attribute,visibility,name,getter,index,internal,nullness,n
java.sql.ResultSetMetaData,method,public,getColumnTypeName(I)Ljava/lang/String;,false,0,false,NON_NULL,2
java.util.Calendar,method,public,getDisplayNames(IILjava/util/Locale;)Ljava/util/Map;,false,1,false,NON_NULL,3
javax.swing.DefaultCellEditor,method,public,<init>(Ljavax/swing/JTextField;)V,false,0,false,UNKNOWN,11
java.io.InterruptedIOException,method,public,<init>(Ljava/lang/String;)V,false,0,false,NON_NULL,20
java.time.OffsetDateTime,method,public,from(Ljava/time/temporal/TemporalAccessor;)Ljava/time/OffsetDateTime;,false,0,false,UNKNOWN,4
java.security.KeyStore,method,public,store(Ljava/io/OutputStream;[C)V,false,1,false,UNKNOWN,9
java.sql.CallableStatement,method,public,setBigDecimal(Ljava/lang/String;Ljava/math/BigDecimal;)V,false,0,false,UNKNOWN,9
java.util.concurrent.locks.LockSupport,method,public,parkNanos(Ljava/lang/Object;J)V,false,0,false,NON_NULL,15
java.awt.Desktop,method,public,browse(Ljava/net/URI;)V,false,0,false,NON_NULL,11
java.sql.PreparedStatement,method,public,setURL(ILjava/net/URL;)V,false,1,false,UNKNOWN,31
java.sql.CallableStatement,method,public,getObject(Ljava/lang/String;Ljava/util/Map;)Ljava/lang/Object;,false,1,false,UNKNOWN,9
java.util.zip.ZipInputStream,method,public,<init>(Ljava/io/InputStream;)V,false,0,false,UNKNOWN,6
java.security.KeyStore,method,public,getKey(Ljava/lang/String;[C)Ljava/security/Key;,false,0,false,NON_NULL,11
java.nio.ByteBuffer,method,public,wrap([B)Ljava/nio/ByteBuffer;,false,0,false,NON_NULL,549
java.awt.Container,method,public,getComponent(I)Ljava/awt/Component;,false,0,false,NON_NULL,77
javax.xml.stream.XMLStreamReader,method,public,getAttributeNamespace(I)Ljava/lang/String;,false,0,false,NON_NULL,9
java.util.Arrays,method,public,setAll([ILjava/util/function/IntUnaryOperator;)V,false,1,false,UNKNOWN,1
java.sql.Connection,method,public,setTransactionIsolation(I)V,false,0,false,NON_NULL,22
java.io.PrintStream,method,public,<init>(Ljava/io/OutputStream;)V,false,0,false,UNKNOWN,4
java.sql.PreparedStatement,method,public,setNClob(ILjava/sql/NClob;)V,false,1,false,UNKNOWN,31
java.sql.ResultSet,method,public,updateNClob(ILjava/sql/NClob;)V,false,0,false,NON_NULL,19
javax.swing.tree.TreeSelectionModel,method,public,addTreeSelectionListener(Ljavax/swing/event/TreeSelectionListener;)V,false,0,false,UNKNOWN,11
java.sql.ResultSet,method,public,getBoolean(Ljava/lang/String;)Z,false,0,false,UNKNOWN,19
java.awt.Window,method,public,addWindowListener(Ljava/awt/event/WindowListener;)V,false,0,false,UNKNOWN,33
java.beans.PropertyDescriptor,method,public,setBound(Z)V,false,0,false,NON_NULL,90
java.sql.ResultSet,method,public,updateObject(ILjava/lang/Object;I)V,false,0,false,NON_NULL,19
java.util.List,method,public,containsAll(Ljava/util/Collection;)Z,false,0,false,UNKNOWN,11
java.security.Signature,method,public,verify([B)Z,false,0,false,UNKNOWN,2
java.sql.Statement,method,public,executeUpdate(Ljava/lang/String;)I,false,0,false,UNKNOWN,60
javax.management.MBeanServer,method,public,registerMBean(Ljava/lang/Object;Ljavax/management/ObjectName;)Ljavax/management/ObjectInstance;,false,1,false,UNKNOWN,14
java.net.InetAddress,method,public,getByAddress(Ljava/lang/String;[B)Ljava/net/InetAddress;,false,0,false,UNKNOWN,4
