"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"210","com.google.common.collect.Maps","com.google.common.collect.Maps","valueOrNull(Ljava/util/Map$Entry;)",FALSE,"return",-1,"Nullable","Unknown",0,1,0,1,1,1,"Nullable"
"211","com.google.common.collect.Maps$FilteredEntrySortedMap","com.google.common.collect.Maps$FilteredEntrySortedMap","sortedMap()",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"212","com.google.common.collect.Maps$KeySet","com.google.common.collect.Maps$KeySet","map()",TRUE,"return",-1,"NonNull","Unknown",0,0,6,6,0,0,"NonNull"
"213","com.google.common.collect.MinMaxPriorityQueue","com.google.common.collect.MinMaxPriorityQueue","removeAt(I)",FALSE,"return",-1,"Nullable","Nullable",0,1,0,1,1,1,"Nullable"
"214","com.google.common.collect.Multimap","com.google.common.collect.AbstractMultimap","asMap()",TRUE,"return",-1,"NonNull","Unknown",0,0,4,4,0,0,"NonNull"
"215","com.google.common.collect.Multimap","com.google.common.collect.AbstractMultimap","entries()",TRUE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"216","com.google.common.collect.Multimap","com.google.common.collect.AbstractMultimap","keySet()",TRUE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"217","com.google.common.collect.Multimap","com.google.common.collect.ImmutableListMultimap","get(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,12,12,0,0,"NonNull"
"218","com.google.common.collect.Multimap","com.google.common.collect.ImmutableMultimap","asMap()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"219","com.google.common.collect.Multimap","com.google.common.collect.ImmutableMultimap","entries()",FALSE,"return",-1,"NonNull","Unknown",0,0,8,8,0,0,"NonNull"
"220","com.google.common.collect.Multimap","com.google.common.collect.ImmutableMultimap","keySet()",FALSE,"return",-1,"NonNull","Unknown",0,0,6,6,0,0,"NonNull"
"221","com.google.common.collect.Multimap","com.google.common.collect.ImmutableMultimap","values()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"222","com.google.common.collect.Multimap","com.google.common.collect.LinkedHashMultimap","entries()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"223","com.google.common.collect.Multimap","com.google.common.collect.LinkedHashMultimap","keySet()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"224","com.google.common.collect.Multimap","com.google.common.collect.LinkedListMultimap","entries()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"225","com.google.common.collect.Multimap","com.google.common.collect.LinkedListMultimap","keySet()",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"226","com.google.common.collect.Multimap","com.google.common.collect.LinkedListMultimap","removeAll(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"227","com.google.common.collect.Multimap","com.google.common.collect.ListMultimap","asMap()",FALSE,"return",-1,"NonNull",NA,0,0,6,6,0,0,"NonNull"
"228","com.google.common.collect.Multimap","com.google.common.collect.ListMultimap","get(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"229","com.google.common.collect.Multimap","com.google.common.collect.Multimap","asMap()",FALSE,"return",-1,"NonNull",NA,0,0,59,59,0,0,"NonNull"
"230","com.google.common.collect.Multimap","com.google.common.collect.Multimap","entries()",FALSE,"return",-1,"NonNull",NA,0,0,23,23,0,0,"NonNull"
"231","com.google.common.collect.Multimap","com.google.common.collect.Multimap","get(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull",NA,0,0,22,22,0,0,"NonNull"
"232","com.google.common.collect.Multimap","com.google.common.collect.Multimap","keySet()",FALSE,"return",-1,"NonNull",NA,0,0,44,44,0,0,"NonNull"
"233","com.google.common.collect.Multimap","com.google.common.collect.Multimap","keys()",FALSE,"return",-1,"NonNull",NA,0,0,11,11,0,0,"NonNull"
"234","com.google.common.collect.Multimap","com.google.common.collect.Multimap","values()",FALSE,"return",-1,"NonNull",NA,0,0,2,2,0,0,"NonNull"
"235","com.google.common.collect.Multimap","com.google.common.collect.SetMultimap","asMap()",FALSE,"return",-1,"NonNull",NA,0,0,5,5,0,0,"NonNull"
"236","com.google.common.collect.Multimap","com.google.common.collect.SetMultimap","entries()",FALSE,"return",-1,"NonNull","Unknown",0,0,4,4,0,0,"NonNull"
"237","com.google.common.collect.Multimap","com.google.common.collect.SetMultimap","get(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,22,22,0,0,"NonNull"
"238","com.google.common.collect.Multimap","com.google.common.collect.SortedSetMultimap","asMap()",FALSE,"return",-1,"NonNull",NA,0,0,1,1,0,0,"NonNull"
"239","com.google.common.collect.Multimap","com.google.common.collect.SortedSetMultimap","get(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","Unknown",0,0,3,3,0,0,"NonNull"
"240","com.google.common.collect.MultimapBuilder","com.google.common.collect.MultimapBuilder","enumKeys(Ljava/lang/Class;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"241","com.google.common.collect.MultimapBuilder","com.google.common.collect.MultimapBuilder","hashKeys()",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"242","com.google.common.collect.MultimapBuilder","com.google.common.collect.MultimapBuilder","linkedHashKeys()",FALSE,"return",-1,"Nullable","Unknown",0,0,16,16,0,0,"NonNull"
"243","com.google.common.collect.MultimapBuilder","com.google.common.collect.MultimapBuilder$ListMultimapBuilder","build()",FALSE,"return",-1,"Nullable","Unknown",0,0,2,2,0,0,"NonNull"
"244","com.google.common.collect.MultimapBuilder","com.google.common.collect.MultimapBuilder$SetMultimapBuilder","build()",FALSE,"return",-1,"Nullable","Unknown",0,0,24,24,0,0,"NonNull"
"245","com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys","com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys","arrayListValues()",FALSE,"return",-1,"Nullable","Unknown",0,0,3,3,0,0,"NonNull"
"246","com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys","com.google.common.collect.MultimapBuilder$MultimapBuilderWithKeys","linkedHashSetValues()",FALSE,"return",-1,"Nullable","Unknown",0,0,10,10,0,0,"NonNull"
"247","com.google.common.collect.Multimaps","com.google.common.collect.Multimaps","transformValues(Lcom/google/common/collect/ListMultimap;Lcom/google/common/base/Function;)",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"248","com.google.common.collect.Multiset","com.google.common.collect.AbstractMultiset","elementSet()",TRUE,"return",-1,"NonNull","Unknown",0,0,5,5,0,0,"NonNull"
"249","com.google.common.collect.Multiset","com.google.common.collect.ForwardingMultiset","entrySet()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"250","com.google.common.collect.Multiset","com.google.common.collect.ImmutableMultiset","elementSet()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"251","com.google.common.collect.Multiset","com.google.common.collect.ImmutableMultiset","entrySet()",TRUE,"return",-1,"NonNull","Unknown",0,0,4,4,0,0,"NonNull"
"252","com.google.common.collect.Multiset","com.google.common.collect.Multiset","elementSet()",FALSE,"return",-1,"NonNull",NA,0,1,18,19,1,0.0526315789473684,"Nullable"
"253","com.google.common.collect.Multiset","com.google.common.collect.Multiset","entrySet()",FALSE,"return",-1,"NonNull",NA,0,0,48,48,0,0,"NonNull"
"254","com.google.common.collect.Multisets","com.google.common.collect.Multisets","cast(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"255","com.google.common.collect.Multisets","com.google.common.collect.Multisets","immutableEntry(Ljava/lang/Object;I)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"256","com.google.common.collect.Ordering","com.google.common.collect.Ordering","compound(Ljava/util/Comparator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"257","com.google.common.collect.Ordering","com.google.common.collect.Ordering","from(Ljava/util/Comparator;)",FALSE,"return",-1,"NonNull","Unknown",0,0,13,13,0,0,"NonNull"
"258","com.google.common.collect.Ordering","com.google.common.collect.Ordering","immutableSortedCopy(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"259","com.google.common.collect.Ordering","com.google.common.collect.Ordering","natural()",FALSE,"return",-1,"NonNull","Unknown",0,0,26,26,0,0,"NonNull"
"260","com.google.common.collect.Ordering","com.google.common.collect.Ordering","onKeys()",FALSE,"return",-1,"NonNull","Unknown",0,0,2,2,0,0,"NonNull"
"261","com.google.common.collect.Ordering","com.google.common.collect.Ordering","onResultOf(Lcom/google/common/base/Function;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"262","com.google.common.collect.Ordering","com.google.common.collect.Ordering","reverse()",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"263","com.google.common.collect.Ordering","com.google.common.collect.Ordering","usingToString()",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"264","com.google.common.collect.Platform","com.google.common.collect.Platform","tryWeakKeys(Lcom/google/common/collect/MapMaker;)",FALSE,"return",-1,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"265","com.google.common.collect.Queues","com.google.common.collect.Queues","newLinkedBlockingQueue()",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"266","com.google.common.collect.Range","com.google.common.collect.Range","canonical(Lcom/google/common/collect/DiscreteDomain;)",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
"267","com.google.common.collect.Range","com.google.common.collect.Range","create(Lcom/google/common/collect/Cut;Lcom/google/common/collect/Cut;)",FALSE,"return",-1,"Nullable","NonNull",0,0,3,3,0,0,"NonNull"
"268","com.google.common.collect.Range","com.google.common.collect.Range","intersection(Lcom/google/common/collect/Range;)",FALSE,"return",-1,"Nullable","Unknown",0,0,11,11,0,0,"NonNull"
"269","com.google.common.collect.Range","com.google.common.collect.Range","rangeLexOrdering()",FALSE,"return",-1,"Nullable","Unknown",0,0,3,3,0,0,"NonNull"
"270","com.google.common.collect.Range","com.google.common.collect.Range","span(Lcom/google/common/collect/Range;)",FALSE,"return",-1,"Nullable","Unknown",0,0,1,1,0,0,"NonNull"
