"","class","attribute","visibility","name","getter","index","internal","nullness","n"
"43","com.google.common.base.CaseFormat$5","method","private","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)","false",2,"true","UNKNOWN",1
"44","com.google.common.base.CaseFormat$5","method","private","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)","false",3,"true","NON_NULL",1
"45","com.google.common.base.CaseFormat$StringConverter","method","private","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)","false",0,"true","NON_NULL",1
"46","com.google.common.base.CaseFormat$StringConverter","method","private","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)","false",1,"true","UNKNOWN",1
"47","com.google.common.base.CharMatcher","method","private","access$100(C)","false",0,"true","NON_NULL",7
"48","com.google.common.base.CharMatcher","method","private","setBits(Ljava/util/BitSet;)","false",0,"true","NON_NULL",3
"49","com.google.common.base.CharMatcher","method","private","setBits(Ljava/util/BitSet;)","false",0,"true","UNKNOWN",2
"50","com.google.common.base.CharMatcher","method","public","and(Lcom/google/common/base/CharMatcher;)","false",-1,"true","UNKNOWN",2
"51","com.google.common.base.CharMatcher","method","public","and(Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"52","com.google.common.base.CharMatcher","method","public","and(Lcom/google/common/base/CharMatcher;)","false",0,"true","UNKNOWN",4
"53","com.google.common.base.CharMatcher","method","public","anyOf(Ljava/lang/CharSequence;)","false",0,"false","NON_NULL",2
"54","com.google.common.base.CharMatcher","method","public","anyOf(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",2
"55","com.google.common.base.CharMatcher","method","public","anyOf(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",3
"56","com.google.common.base.CharMatcher","method","public","apply(Ljava/lang/Character;)","false",0,"true","UNKNOWN",12
"57","com.google.common.base.CharMatcher","method","public","ascii()","false",-1,"true","UNKNOWN",3
"58","com.google.common.base.CharMatcher","method","public","countIn(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",1
"59","com.google.common.base.CharMatcher","method","public","digit()","false",-1,"false","UNKNOWN",5
"60","com.google.common.base.CharMatcher","method","public","digit()","false",-1,"true","UNKNOWN",2
"61","com.google.common.base.CharMatcher","method","public","inRange(CC)","false",0,"true","NON_NULL",2
"62","com.google.common.base.CharMatcher","method","public","inRange(CC)","false",1,"true","NON_NULL",2
"63","com.google.common.base.CharMatcher","method","public","indexIn(Ljava/lang/CharSequence;)","false",0,"false","NON_NULL",15
"64","com.google.common.base.CharMatcher","method","public","indexIn(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",10
"65","com.google.common.base.CharMatcher","method","public","indexIn(Ljava/lang/CharSequence;I)","false",0,"true","UNKNOWN",3
"66","com.google.common.base.CharMatcher","method","public","indexIn(Ljava/lang/CharSequence;I)","false",1,"true","NON_NULL",3
"67","com.google.common.base.CharMatcher","method","public","is(C)","false",-1,"false","UNKNOWN",44
"68","com.google.common.base.CharMatcher","method","public","is(C)","false",0,"false","NON_NULL",44
"69","com.google.common.base.CharMatcher","method","public","is(C)","false",0,"true","NON_NULL",5
"70","com.google.common.base.CharMatcher","method","public","isNot(C)","false",0,"true","NON_NULL",2
"71","com.google.common.base.CharMatcher","method","public","javaDigit()","false",-1,"false","UNKNOWN",5
"72","com.google.common.base.CharMatcher","method","public","javaIsoControl()","false",-1,"true","UNKNOWN",1
"73","com.google.common.base.CharMatcher","method","public","javaLetter()","false",-1,"false","UNKNOWN",5
"74","com.google.common.base.CharMatcher","method","public","javaLetterOrDigit()","false",-1,"true","UNKNOWN",1
"75","com.google.common.base.CharMatcher","method","public","lastIndexIn(Ljava/lang/CharSequence;)","false",0,"false","NON_NULL",10
"76","com.google.common.base.CharMatcher","method","public","lastIndexIn(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",2
"77","com.google.common.base.CharMatcher","method","public","matches(C)","false",0,"false","NON_NULL",29
"78","com.google.common.base.CharMatcher","method","public","matches(C)","false",0,"true","NON_NULL",16
"79","com.google.common.base.CharMatcher","method","public","matchesAllOf(Ljava/lang/CharSequence;)","false",0,"false","NON_NULL",1
"80","com.google.common.base.CharMatcher","method","public","matchesAllOf(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",3
"81","com.google.common.base.CharMatcher","method","public","matchesAllOf(Ljava/lang/CharSequence;)","false",0,"true","UNKNOWN",4
"82","com.google.common.base.CharMatcher","method","public","matchesNoneOf(Ljava/lang/CharSequence;)","false",0,"true","UNKNOWN",1
"83","com.google.common.base.CharMatcher","method","public","negate()","false",-1,"true","UNKNOWN",1
"84","com.google.common.base.CharMatcher","method","public","noneOf(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",2
"85","com.google.common.base.CharMatcher","method","public","or(Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"86","com.google.common.base.CharMatcher","method","public","or(Lcom/google/common/base/CharMatcher;)","false",0,"true","UNKNOWN",1
"87","com.google.common.base.CharMatcher","method","public","removeFrom(Ljava/lang/CharSequence;)","false",-1,"false","UNKNOWN",6
"88","com.google.common.base.CharMatcher","method","public","removeFrom(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",6
"89","com.google.common.base.CharMatcher","method","public","replaceFrom(Ljava/lang/CharSequence;C)","false",0,"false","UNKNOWN",1
"90","com.google.common.base.CharMatcher","method","public","replaceFrom(Ljava/lang/CharSequence;C)","false",0,"true","UNKNOWN",1
"91","com.google.common.base.CharMatcher","method","public","replaceFrom(Ljava/lang/CharSequence;C)","false",1,"false","NON_NULL",1
"92","com.google.common.base.CharMatcher","method","public","replaceFrom(Ljava/lang/CharSequence;C)","false",1,"true","NON_NULL",1
"93","com.google.common.base.CharMatcher","method","public","retainFrom(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",1
"94","com.google.common.base.CharMatcher","method","public","trimFrom(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",2
"95","com.google.common.base.CharMatcher","method","public","trimLeadingFrom(Ljava/lang/CharSequence;)","false",0,"true","UNKNOWN",1
"96","com.google.common.base.CharMatcher","method","public","trimTrailingFrom(Ljava/lang/CharSequence;)","false",-1,"false","UNKNOWN",2
"97","com.google.common.base.CharMatcher","method","public","trimTrailingFrom(Ljava/lang/CharSequence;)","false",0,"false","NON_NULL",2
"98","com.google.common.base.CharMatcher","method","public","trimTrailingFrom(Ljava/lang/CharSequence;)","false",0,"false","UNKNOWN",4
"99","com.google.common.base.CharMatcher","method","public","whitespace()","false",-1,"false","UNKNOWN",10
"100","com.google.common.base.CharMatcher$1","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;)","false",0,"true","NON_NULL",1
"101","com.google.common.base.CharMatcher$1","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;)","false",1,"true","UNKNOWN",1
"102","com.google.common.base.CharMatcher$1","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;Ljava/lang/String;)","false",2,"true","NON_NULL",1
"103","com.google.common.base.CharMatcher$And","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"104","com.google.common.base.CharMatcher$And","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)","false",1,"true","UNKNOWN",1
"105","com.google.common.base.CharMatcher$AnyOf","method","public","<init>(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",1
"106","com.google.common.base.CharMatcher$BitSetMatcher","method","private","<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;)","false",0,"true","NON_NULL",1
"107","com.google.common.base.CharMatcher$BitSetMatcher","method","private","<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;)","false",1,"true","UNKNOWN",1
"108","com.google.common.base.CharMatcher$BitSetMatcher","method","private","<init>(Ljava/util/BitSet;Ljava/lang/String;Lcom/google/common/base/CharMatcher$1;)","false",2,"true","NULL",1
"109","com.google.common.base.CharMatcher$ForPredicate","method","private","<init>(Lcom/google/common/base/Predicate;)","false",0,"true","UNKNOWN",1
"110","com.google.common.base.CharMatcher$InRange","method","private","<init>(CC)","false",0,"true","NON_NULL",1
"111","com.google.common.base.CharMatcher$InRange","method","private","<init>(CC)","false",1,"true","NON_NULL",1
"112","com.google.common.base.CharMatcher$Is","method","private","<init>(C)","false",0,"true","NON_NULL",1
"113","com.google.common.base.CharMatcher$IsEither","method","private","<init>(CC)","false",0,"true","NON_NULL",1
"114","com.google.common.base.CharMatcher$IsEither","method","private","<init>(CC)","false",1,"true","NON_NULL",1
"115","com.google.common.base.CharMatcher$IsNot","method","private","<init>(C)","false",0,"true","NON_NULL",1
"116","com.google.common.base.CharMatcher$NamedFastMatcher","method","private","<init>(Ljava/lang/String;)","false",0,"true","NON_NULL",5
"117","com.google.common.base.CharMatcher$NamedFastMatcher","method","private","<init>(Ljava/lang/String;)","false",0,"true","UNKNOWN",2
"118","com.google.common.base.CharMatcher$Negated","method","private","<init>(Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"119","com.google.common.base.CharMatcher$Negated","method","private","<init>(Lcom/google/common/base/CharMatcher;)","false",0,"true","UNKNOWN",1
"120","com.google.common.base.CharMatcher$NegatedFastMatcher","method","private","<init>(Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"121","com.google.common.base.CharMatcher$NegatedFastMatcher","method","private","<init>(Lcom/google/common/base/CharMatcher;)","false",0,"true","UNKNOWN",1
"122","com.google.common.base.CharMatcher$Or","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)","false",0,"true","NON_NULL",1
"123","com.google.common.base.CharMatcher$Or","method","private","<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;)","false",1,"true","UNKNOWN",1
"124","com.google.common.base.CharMatcher$RangesMatcher","method","private","<init>(Ljava/lang/String;[C[C)","false",0,"true","NON_NULL",3
"125","com.google.common.base.CharMatcher$RangesMatcher","method","private","<init>(Ljava/lang/String;[C[C)","false",1,"true","UNKNOWN",3
"126","com.google.common.base.CharMatcher$RangesMatcher","method","private","<init>(Ljava/lang/String;[C[C)","false",2,"true","UNKNOWN",3
"127","com.google.common.base.CommonMatcher","method","private","find(I)","false",0,"true","NON_NULL",1
"128","com.google.common.base.CommonPattern","method","private","matcher(Ljava/lang/CharSequence;)","false",-1,"true","UNKNOWN",2
"129","com.google.common.base.CommonPattern","method","private","matcher(Ljava/lang/CharSequence;)","false",0,"true","NON_NULL",1
"130","com.google.common.base.CommonPattern","method","private","matcher(Ljava/lang/CharSequence;)","false",0,"true","UNKNOWN",2
"131","com.google.common.base.Converter","method","private","correctedDoBackward(Ljava/lang/Object;)","false",0,"true","UNKNOWN",3
"132","com.google.common.base.Converter","method","private","correctedDoForward(Ljava/lang/Object;)","false",0,"true","UNKNOWN",3
"133","com.google.common.base.Converter","method","public","convert(Ljava/lang/Object;)","false",0,"true","UNKNOWN",1
"134","com.google.common.base.Converter","method","public","equals(Ljava/lang/Object;)","false",0,"true","UNKNOWN",3
