"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"156","com.google.common.util.concurrent.MoreExecutors","com.google.common.util.concurrent.MoreExecutors","renamingDecorator(Ljava/util/concurrent/Executor;Lcom/google/common/base/Supplier;)",FALSE,"return",-1,"Nullable","NonNull",0,0,3,3,0,0,"NonNull"
"157","com.google.common.util.concurrent.MoreExecutors","com.google.common.util.concurrent.MoreExecutors","renamingDecorator(Ljava/util/concurrent/ScheduledExecutorService;Lcom/google/common/base/Supplier;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"158","com.google.common.util.concurrent.ThreadFactoryBuilder","com.google.common.util.concurrent.ThreadFactoryBuilder","setDaemon(Z)",FALSE,"return",-1,"Nullable","NonNull",0,0,8,8,0,0,"NonNull"
"159","com.google.common.util.concurrent.ThreadFactoryBuilder","com.google.common.util.concurrent.ThreadFactoryBuilder","setNameFormat(Ljava/lang/String;)",FALSE,"return",-1,"Nullable","NonNull",0,0,18,18,0,0,"NonNull"
"160","com.google.common.util.concurrent.ThreadFactoryBuilder","com.google.common.util.concurrent.ThreadFactoryBuilder","setThreadFactory(Ljava/util/concurrent/ThreadFactory;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"161","com.google.common.util.concurrent.TrustedListenableFutureTask","com.google.common.util.concurrent.TrustedListenableFutureTask","create(Lcom/google/common/util/concurrent/AsyncCallable;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"162","java.util.NavigableSet","com.google.common.collect.ImmutableSortedSet","descendingSet()",TRUE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"163","java.util.SortedMap","com.google.common.collect.Maps$FilteredEntrySortedMap","headMap(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"164","java.util.SortedMap","com.google.common.collect.Maps$FilteredEntrySortedMap","subMap(Ljava/lang/Object;Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"165","java.util.SortedMap","com.google.common.collect.Maps$FilteredEntrySortedMap","tailMap(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"166","java.util.function.Predicate","com.google.common.base.CharMatcher","negate()",FALSE,"return",-1,"Nullable","NonNull",0,0,2,2,0,0,"NonNull"
