"","rootClass","class","name","getter","use","index","nullness.actual","nullness.definition","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"1","com.google.common.base.Ascii","com.google.common.base.Ascii","toLowerCase(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,18,18,0,0,"NonNull"
"2","com.google.common.base.Ascii","com.google.common.base.Ascii","toUpperCase(Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"3","com.google.common.base.Ascii","com.google.common.base.Ascii","truncate(Ljava/lang/CharSequence;ILjava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"4","com.google.common.base.Ascii","com.google.common.base.Ascii","truncate(Ljava/lang/CharSequence;ILjava/lang/String;)",FALSE,"parameter",2,"NonNull","NonNull",0,2,0,2,0,0,"NonNull"
"5","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"6","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","convert(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"7","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","to(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,24,24,0,0,"NonNull"
"8","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat","to(Lcom/google/common/base/CaseFormat;Ljava/lang/String;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,24,24,0,0,"NonNull"
"9","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat$1","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
"10","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat$2","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
"11","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat$3","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
"12","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat$4","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
"13","com.google.common.base.CaseFormat","com.google.common.base.CaseFormat$5","<init>(Ljava/lang/String;ILcom/google/common/base/CharMatcher;Ljava/lang/String;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,0,1,0,0,"NonNull"
"14","com.google.common.base.CaseFormat$StringConverter","com.google.common.base.CaseFormat$StringConverter","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"15","com.google.common.base.CaseFormat$StringConverter","com.google.common.base.CaseFormat$StringConverter","<init>(Lcom/google/common/base/CaseFormat;Lcom/google/common/base/CaseFormat;)",FALSE,"parameter",1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"16","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","and(Lcom/google/common/base/CharMatcher;)",FALSE,"parameter",0,"NonNull","Unknown",0,1,4,5,0,0,"NonNull"
"17","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","anyOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,5,2,7,0,0,"NonNull"
"18","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","apply(Ljava/lang/Character;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,12,12,0,0,"NonNull"
"19","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","countIn(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"20","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","indexIn(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","Unknown",0,15,10,25,0,0,"NonNull"
"21","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","indexIn(Ljava/lang/CharSequence;I)",FALSE,"parameter",0,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"22","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","lastIndexIn(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,10,2,12,0,0,"NonNull"
"23","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","matchesAllOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,7,8,0,0,"NonNull"
"24","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","matchesNoneOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","Unknown",0,0,1,1,0,0,"NonNull"
"25","com.google.common.base.CharMatcher","com.google.common.base.CharMatcher","noneOf(Ljava/lang/CharSequence;)",FALSE,"parameter",0,"NonNull","Unknown",0,2,0,2,0,0,"NonNull"
