class,method,dereferences,variable,location,nullness,originClass,originMethod
com.google.common.collect.EnumBiMap,writeObject(Ljava/io/ObjectOutputStream;)V,false,,,,,
com.google.common.hash.AbstractHasher,<init>()V,false,,,,,
com.google.common.collect.Iterators,concat(Ljava/util/Iterator;)Ljava/util/Iterator;,false,,,,,
com.google.common.reflect.Types$JavaVersion$2,usedInGenericType(Ljava/lang/reflect/Type;)Ljava/lang/reflect/Type;,false,,,,,
com.google.common.graph.AbstractBaseGraph,<init>()V,false,,,,,
com.google.common.primitives.Primitives,isWrapperType(Ljava/lang/Class;)Z,false,,,,,
com.google.common.base.CharMatcher,any()Lcom/google/common/base/CharMatcher;,false,,,,,
com.google.common.base.Verify,verifyNotNull(Ljava/lang/Object;)Ljava/lang/Object;,false,,,,,
com.google.common.collect.EnumHashBiMap,replaceAll(Ljava/util/function/BiFunction;)V,false,,,,,
com.google.common.collect.HashBiMap$Inverse,replaceAll(Ljava/util/function/BiFunction;)V,true,entry,712:-1,NON_NULL,com.google.common.collect.HashBiMap,access$000(Lcom/google/common/collect/HashBiMap;)Lcom/google/common/collect/HashBiMap$BiEntry;
com.google.common.collect.TreeRangeSet$RangesByUpperBound,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Ljava/util/NavigableMap;,false,,,,,
com.google.common.util.concurrent.CycleDetectingLockFactory$Policies,<init>(Ljava/lang/String;I)V,false,,,,,
com.google.common.io.LineBuffer,<init>()V,false,,,,,
com.google.common.hash.AbstractNonStreamingHashFunction,hashUnencodedChars(Ljava/lang/CharSequence;)Lcom/google/common/hash/HashCode;,false,,,,,
com.google.common.graph.Graphs$TransposedValueGraph,inDegree(Ljava/lang/Object;)I,true,$r0,343:-1,UNKNOWN,com.google.common.graph.Graphs$TransposedValueGraph,delegate()Lcom/google/common/graph/ValueGraph;
com.google.common.collect.ImmutableSortedSet,lower(Ljava/lang/Object;)Ljava/lang/Object;,true,$r0,681:-1,UNKNOWN,com.google.common.collect.ImmutableSortedSet,headSet(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedSet;
com.google.common.reflect.TypeResolver$WildcardCapturer,<init>(Ljava/util/concurrent/atomic/AtomicInteger;Lcom/google/common/reflect/TypeResolver$1;)V,false,,,,,
com.google.common.util.concurrent.ForwardingBlockingDeque,offerLast(Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;)Z,true,$r0,78:-1,UNKNOWN,com.google.common.util.concurrent.ForwardingBlockingDeque,delegate()Ljava/util/concurrent/BlockingDeque;
com.google.common.util.concurrent.Futures$NonCancellationPropagatingFuture,afterDone()V,false,,,,,
com.google.common.util.concurrent.Futures$CallbackListener,run()V,false,,,,,
com.google.common.hash.Crc32cHashFunction,bits()I,false,,,,,
com.google.common.collect.AbstractIterator,endOfData()Ljava/lang/Object;,false,,,,,
com.google.common.reflect.Types$ParameterizedTypeImpl,hashCode()I,false,,,,,
com.google.common.util.concurrent.CycleDetectingLockFactory,newReentrantReadWriteLock(Ljava/lang/String;)Ljava/util/concurrent/locks/ReentrantReadWriteLock;,false,,,,,
com.google.common.primitives.Bytes$ByteArrayAsList,toString()Ljava/lang/String;,false,,,,,
com.google.common.collect.EmptyContiguousSet,descendingIterator()Ljava/util/Iterator;,false,,,,,
com.google.common.graph.ConfigurableValueGraph,predecessors(Ljava/lang/Object;)Ljava/util/Set;,true,$r0,109:-1,UNKNOWN,com.google.common.graph.ConfigurableValueGraph,checkedConnections(Ljava/lang/Object;)Lcom/google/common/graph/GraphConnections;
com.google.common.collect.HashMultiset,count(Ljava/lang/Object;)I,false,,,,,
com.google.common.util.concurrent.AtomicDouble,getAndSet(D)D,false,,,,,
com.google.common.util.concurrent.AbstractScheduledService$Scheduler$2,schedule(Lcom/google/common/util/concurrent/AbstractService;Ljava/util/concurrent/ScheduledExecutorService;Ljava/lang/Runnable;)Ljava/util/concurrent/Future;,false,,,,,
com.google.common.cache.LocalCache$NullEntry,getNextInWriteQueue()Lcom/google/common/cache/LocalCache$ReferenceEntry;,false,,,,,
com.google.common.collect.RegularImmutableSortedMultiset,elementSet()Lcom/google/common/collect/ImmutableSet;,false,,,,,
com.google.common.collect.AbstractMapBasedMultimap$NavigableAsMap,floorKey(Ljava/lang/Object;)Ljava/lang/Object;,true,$r0,1528:-1,UNKNOWN,com.google.common.collect.AbstractMapBasedMultimap$NavigableAsMap,sortedMap()Ljava/util/NavigableMap;
com.google.common.base.Converter$1,iterator()Ljava/util/Iterator;,false,,,,,
com.google.common.util.concurrent.AbstractFuture$SynchronizedHelper,casWaiters(Lcom/google/common/util/concurrent/AbstractFuture;Lcom/google/common/util/concurrent/AbstractFuture$Waiter;Lcom/google/common/util/concurrent/AbstractFuture$Waiter;)Z,false,,,,,
com.google.common.collect.ListMultimap,replaceValues(Ljava/lang/Object;Ljava/lang/Iterable;)Ljava/util/Collection;,false,,,,,
com.google.common.primitives.UnsignedLongs,join(Ljava/lang/String;[J)Ljava/lang/String;,false,,,,,
com.google.common.graph.DirectedGraphConnections,of()Lcom/google/common/graph/DirectedGraphConnections;,false,,,,,
com.google.common.collect.Synchronized$SynchronizedDeque,removeLastOccurrence(Ljava/lang/Object;)Z,true,$r1,1950:-1,UNKNOWN,com.google.common.collect.Synchronized$SynchronizedDeque,delegate()Ljava/util/Deque;
com.google.common.collect.Streams,stream(Ljava/util/Iterator;)Ljava/util/stream/Stream;,false,,,,,
com.google.common.util.concurrent.AggregateFutureState$SafeAtomicHelper,decrementAndGetRemainingCount(Lcom/google/common/util/concurrent/AggregateFutureState;)I,false,,,,,
com.google.common.collect.NullsFirstOrdering,nullsLast()Lcom/google/common/collect/Ordering;,false,,,,,
com.google.common.collect.Lists$ReverseList,reverseIndex(I)I,false,,,,,
com.google.common.collect.ImmutableSortedMap,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;,true,$r2,810:-1,UNKNOWN,com.google.common.collect.ImmutableSortedMap,comparator()Ljava/util/Comparator;
com.google.common.collect.ImmutableSortedMap,subMap(Ljava/lang/Object;ZLjava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;,true,$r3,814:-1,UNKNOWN,com.google.common.collect.ImmutableSortedMap,headMap(Ljava/lang/Object;Z)Lcom/google/common/collect/ImmutableSortedMap;
com.google.common.collect.Synchronized$SynchronizedAsMapEntries$1$1,<init>(Lcom/google/common/collect/Synchronized$SynchronizedAsMapEntries$1;Ljava/util/Map$Entry;)V,false,,,,,
com.google.common.io.MoreFiles$3,toString()Ljava/lang/String;,false,,,,,
com.google.common.net.InternetDomainName,isTopDomainUnderRegistrySuffix()Z,false,,,,,
com.google.common.primitives.UnsignedInteger,valueOf(Ljava/lang/String;I)Lcom/google/common/primitives/UnsignedInteger;,false,,,,,
com.google.common.io.Files,map(Ljava/io/RandomAccessFile;Ljava/nio/channels/FileChannel$MapMode;J)Ljava/nio/MappedByteBuffer;,true,closer,698:-1,UNKNOWN,com.google.common.io.Closer,create()Lcom/google/common/io/Closer;
com.google.common.io.Files,map(Ljava/io/RandomAccessFile;Ljava/nio/channels/FileChannel$MapMode;J)Ljava/nio/MappedByteBuffer;,true,channel,699:-1,UNKNOWN,com.google.common.io.Closer,register(Ljava/io/Closeable;)Ljava/io/Closeable;
com.google.common.collect.ForwardingMultiset,entrySet()Ljava/util/Set;,true,$r0,87:-1,UNKNOWN,com.google.common.collect.ForwardingMultiset,delegate()Lcom/google/common/collect/Multiset;
com.google.common.collect.ForwardingConcurrentMap,delegate()Ljava/util/Map;,false,,,,,
com.google.common.collect.ForwardingBlockingDeque,offerFirst(Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;)Z,true,$r0,75:-1,UNKNOWN,com.google.common.collect.ForwardingBlockingDeque,delegate()Ljava/util/concurrent/BlockingDeque;
com.google.common.collect.ImmutableTable,values()Ljava/util/Collection;,false,,,,,
com.google.common.collect.Maps,keyOrNull(Ljava/util/Map$Entry;)Ljava/lang/Object;,false,,,,,
com.google.common.collect.Streams,stream(Ljava/util/OptionalDouble;)Ljava/util/stream/DoubleStream;,false,,,,,
com.google.common.collect.ImmutableMap,keySpliterator()Ljava/util/Spliterator;,true,$r0,746:-1,UNKNOWN,com.google.common.collect.ImmutableMap,entrySet()Lcom/google/common/collect/ImmutableSet;
com.google.common.hash.LongAddables$2,get()Ljava/lang/Object;,false,,,,,
com.google.common.primitives.Longs$AsciiDigits,digit(C)I,false,,,,,
com.google.common.io.BaseEncoding$5,<init>(Ljava/lang/Appendable;Ljava/io/Writer;)V,false,,,,,
com.google.common.base.Splitter$3$1,separatorEnd(I)I,false,,,,,
com.google.common.collect.HashBiMap$1$MapEntry,getKey()Ljava/lang/Object;,false,,,,,
com.google.common.reflect.TypeToken$2,<init>(Lcom/google/common/reflect/TypeToken;Ljava/lang/reflect/Constructor;)V,false,,,,,
com.google.common.collect.AbstractTable,put(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,true,$r0,100:-1,UNKNOWN,com.google.common.collect.Table,row(Ljava/lang/Object;)Ljava/util/Map;
com.google.common.io.Files,readLines(Ljava/io/File;Ljava/nio/charset/Charset;)Ljava/util/List;,true,$r0,544:-1,UNKNOWN,com.google.common.io.Files,asCharSource(Ljava/io/File;Ljava/nio/charset/Charset;)Lcom/google/common/io/CharSource;
com.google.common.cache.RemovalNotification,getCause()Lcom/google/common/cache/RemovalCause;,false,,,,,
com.google.common.util.concurrent.ListenableFutureTask,create(Ljava/util/concurrent/Callable;)Lcom/google/common/util/concurrent/ListenableFutureTask;,false,,,,,
com.google.common.primitives.Shorts$ShortConverter,doBackward(Ljava/lang/Short;)Ljava/lang/String;,false,,,,,
com.google.common.collect.DenseImmutableTable$ImmutableArrayMap$1,<init>(Lcom/google/common/collect/DenseImmutableTable$ImmutableArrayMap;)V,true,$r1,129:-1,UNKNOWN,com.google.common.collect.DenseImmutableTable$ImmutableArrayMap,keyToIndex()Lcom/google/common/collect/ImmutableMap;
