class,attribute,visibility,name,index,type,primitive,nullness
org.apache.commons.io.comparator.CompositeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.CompositeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.CompositeFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.CompositeFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.DefaultFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,field,,DEFAULT_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,field,,DEFAULT_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,<init>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,0,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/io/File;Ljava/io/File;)I,1,Ljava/io/File;,false,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,toString()Ljava/lang/String;,-1,Ljava/lang/String;,false,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,-1,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.DefaultFileComparator,method,,sort(Ljava/util/List;)Ljava/util/List;,0,Ljava/util/List;,false,Nullable
org.apache.commons.io.comparator.DefaultFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,-1,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.DefaultFileComparator,method,,sort([Ljava/io/File;)[Ljava/io/File;,0,[Ljava/io/File;,false,Nullable
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,-1,I,true,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,0,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,compare(Ljava/lang/Object;Ljava/lang/Object;)I,1,Ljava/lang/Object;,false,NonNull
org.apache.commons.io.comparator.DefaultFileComparator,method,,<clinit>()V,-1,V,true,Unknown
org.apache.commons.io.comparator.DirectoryFileComparator,field,,serialVersionUID,-1,,,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,field,,DIRECTORY_COMPARATOR,-1,,,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,field,,DIRECTORY_REVERSE,-1,,,NonNull
org.apache.commons.io.comparator.DirectoryFileComparator,method,,<init>()V,-1,V,true,Unknown
