"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"45","com.google.common.collect.ForwardingObject","com.google.common.collect.Tables$UnmodifiableTable","method","delegate()",-1,"Nullable","NonNull","Nullable"
"46","com.google.common.collect.ForwardingObject","com.google.common.collect.TreeRangeSet$AsRanges","method","delegate()",-1,"Nullable","NonNull","Nullable"
"47","com.google.common.collect.ForwardingObject","com.google.common.collect.UnmodifiableSortedMultiset","method","delegate()",-1,"Nullable","NonNull","Nullable"
"48","com.google.common.collect.ForwardingObject","com.google.common.collect.WellBehavedMap","method","delegate()",-1,"Nullable","NonNull","Nullable"
"49","com.google.common.collect.ForwardingObject","com.google.common.reflect.ImmutableTypeToInstanceMap","method","delegate()",-1,"Nullable","NonNull","Nullable"
"50","com.google.common.collect.ForwardingObject","com.google.common.reflect.MutableTypeToInstanceMap","method","delegate()",-1,"Nullable","NonNull","Nullable"
"51","com.google.common.collect.ForwardingObject","com.google.common.reflect.MutableTypeToInstanceMap$UnmodifiableEntry","method","delegate()",-1,"Nullable","NonNull","Nullable"
"52","com.google.common.collect.ForwardingObject","com.google.common.reflect.MutableTypeToInstanceMap$UnmodifiableEntry$1","method","delegate()",-1,"Nullable","NonNull","Nullable"
"53","com.google.common.collect.ForwardingObject","com.google.common.reflect.TypeToken$ClassSet","method","delegate()",-1,"Nullable","NonNull","Nullable"
"54","com.google.common.collect.ForwardingObject","com.google.common.reflect.TypeToken$InterfaceSet","method","delegate()",-1,"Nullable","NonNull","Nullable"
"55","com.google.common.collect.ForwardingObject","com.google.common.reflect.TypeToken$TypeSet","method","delegate()",-1,"Nullable","NonNull","Nullable"
"56","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.AbstractScheduledService$CustomScheduler$ReschedulableCallable","method","delegate()",-1,"Nullable","NonNull","Nullable"
"57","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingBlockingDeque","method","delegate()",-1,"Nullable","NonNull","Nullable"
"58","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingBlockingQueue","method","delegate()",-1,"Nullable","NonNull","Nullable"
"59","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingCheckedFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"60","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingCheckedFuture$SimpleForwardingCheckedFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"61","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingExecutorService","method","delegate()",-1,"Nullable","NonNull","Nullable"
"62","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"63","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingFuture$SimpleForwardingFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"64","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingListenableFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"65","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingListenableFuture$SimpleForwardingListenableFuture","method","delegate()",-1,"Nullable","NonNull","Nullable"
"66","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.ForwardingListeningExecutorService","method","delegate()",-1,"Nullable","NonNull","Nullable"
"67","com.google.common.collect.ForwardingObject","com.google.common.util.concurrent.JdkFutureAdapters$ListenableFutureAdapter","method","delegate()",-1,"Nullable","NonNull","Nullable"
"68","com.google.common.collect.ForwardingSortedMap","com.google.common.collect.ForwardingNavigableMap","method","standardSubMap(Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"69","com.google.common.collect.ForwardingSortedSet","com.google.common.collect.ForwardingNavigableSet","method","standardSubSet(Ljava/lang/Object;Ljava/lang/Object;)",-1,"Nullable","NonNull","Nullable"
"70","com.google.common.collect.ImmutableCollection","com.google.common.collect.EmptyContiguousSet","method","asList()",-1,"Nullable","NonNull","Nullable"
"71","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableMapValues","method","asList()",-1,"Nullable","NonNull","Nullable"
"72","com.google.common.collect.ImmutableCollection","com.google.common.collect.EmptyContiguousSet","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"73","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableAsList","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
"74","com.google.common.collect.ImmutableCollection","com.google.common.collect.ImmutableMapEntrySet","method","writeReplace()",-1,"Nullable","NonNull","Nullable"
