class,classVisibility,attribute,visibility,name,index,type,primitive,rootClass,abstract
org.apache.commons.io.serialization.FullClassNameMatcher,private,field,private,classesSet,-1,Ljava/util/Set;,false,org.apache.commons.io.serialization.FullClassNameMatcher,false
org.apache.commons.io.serialization.FullClassNameMatcher,private,method,public,<init>([Ljava/lang/String;)V,0,[Ljava/lang/String;,false,org.apache.commons.io.serialization.FullClassNameMatcher,false
org.apache.commons.io.serialization.FullClassNameMatcher,private,method,public,matches(Ljava/lang/String;)Z,-1,Z,true,org.apache.commons.io.serialization.ClassNameMatcher,false
org.apache.commons.io.serialization.FullClassNameMatcher,private,method,public,matches(Ljava/lang/String;)Z,0,Ljava/lang/String;,false,org.apache.commons.io.serialization.ClassNameMatcher,false
org.apache.commons.io.EndianUtils,public,method,public,swapShort(S)S,-1,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapShort(S)S,0,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapInteger(I)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapInteger(I)I,0,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapLong(J)J,-1,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapLong(J)J,0,J,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapFloat(F)F,-1,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapFloat(F)F,0,F,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapDouble(D)D,-1,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,swapDouble(D)D,0,D,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedShort([BIS)V,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedShort([BIS)V,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,writeSwappedShort([BIS)V,2,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedShort([BI)S,-1,S,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedShort([BI)S,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedShort([BI)S,1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedShort([BI)I,-1,I,true,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedShort([BI)I,0,[B,false,org.apache.commons.io.EndianUtils,false
org.apache.commons.io.EndianUtils,public,method,public,readSwappedUnsignedShort([BI)I,1,I,true,org.apache.commons.io.EndianUtils,false
